Year,Site,Quadrat,Small colonies / 0.25 m^2
2010,LTER1,1,0
2010,LTER1,2,0
2010,LTER1,3,0
2010,LTER1,4,0
2010,LTER1,5,0
2010,LTER1,6,2
2010,LTER1,7,0
2010,LTER1,8,1
2010,LTER1,9,0
2010,LTER1,10,0
2010,LTER1,11,0
2010,LTER1,12,0
2010,LTER1,13,0
2010,LTER1,14,0
2010,LTER1,15,0
2010,LTER1,16,0
2010,LTER1,17,0
2010,LTER1,18,0
2010,LTER1,19,0
2010,LTER1,20,0
2010,LTER1,21,0
2010,LTER1,22,0
2010,LTER1,23,0
2010,LTER1,24,0
2010,LTER1,25,0
2010,LTER1,26,0
2010,LTER1,27,0
2010,LTER1,28,0
2010,LTER1,29,0
2010,LTER1,30,0
2010,LTER1,31,0
2010,LTER1,32,0
2010,LTER1,33,0
2010,LTER1,34,0
2010,LTER1,35,0
2010,LTER1,36,0
2010,LTER1,37,0
2010,LTER1,38,0
2010,LTER1,39,0
2010,LTER1,40,0
2014,LTER1,1,2
2014,LTER1,2,0
2014,LTER1,3,2
2014,LTER1,4,3
2014,LTER1,5,2
2014,LTER1,6,2
2014,LTER1,7,6
2014,LTER1,8,5
2014,LTER1,9,2
2014,LTER1,10,0
2014,LTER1,11,5
2014,LTER1,12,5
2014,LTER1,13,4
2014,LTER1,14,6
2014,LTER1,15,2
2014,LTER1,16,45
2014,LTER1,17,4
2014,LTER1,18,1
2014,LTER1,19,3
2014,LTER1,20,8
2014,LTER1,21,2
2014,LTER1,22,7
2014,LTER1,23,NaN
2014,LTER1,24,NaN
2014,LTER1,25,5
2014,LTER1,26,0
2014,LTER1,27,4
2014,LTER1,28,2
2014,LTER1,29,1
2014,LTER1,30,4
2014,LTER1,31,6
2014,LTER1,32,2
2014,LTER1,33,1
2014,LTER1,34,6
2014,LTER1,35,2
2014,LTER1,36,2
2014,LTER1,37,4
2014,LTER1,38,5
2014,LTER1,39,8
2014,LTER1,40,7
2017,LTER1,1,0
2017,LTER1,2,0
2017,LTER1,3,0
2017,LTER1,4,0
2017,LTER1,5,0
2017,LTER1,6,0
2017,LTER1,7,0
2017,LTER1,8,0
2017,LTER1,9,0
2017,LTER1,10,0
2017,LTER1,11,0
2017,LTER1,12,0
2017,LTER1,13,0
2017,LTER1,14,0
2017,LTER1,15,0
2017,LTER1,16,0
2017,LTER1,17,1
2017,LTER1,18,0
2017,LTER1,19,0
2017,LTER1,20,0
2017,LTER1,21,0
2017,LTER1,22,1
2017,LTER1,23,nan
2017,LTER1,24,nan
2017,LTER1,25,0
2017,LTER1,26,0
2017,LTER1,27,0
2017,LTER1,28,0
2017,LTER1,29,0
2017,LTER1,30,0
2017,LTER1,31,0
2017,LTER1,32,0
2017,LTER1,33,0
2017,LTER1,34,0
2017,LTER1,35,0
2017,LTER1,36,0
2017,LTER1,37,0
2017,LTER1,38,0
2017,LTER1,39,0
2017,LTER1,40,0
2010,LTER2,1,0
2010,LTER2,2,0
2010,LTER2,3,0
2010,LTER2,4,0
2010,LTER2,5,0
2010,LTER2,6,0
2010,LTER2,7,2
2010,LTER2,8,1
2010,LTER2,9,0
2010,LTER2,10,4
2010,LTER2,11,0
2010,LTER2,12,2
2010,LTER2,13,0
2010,LTER2,14,0
2010,LTER2,15,0
2010,LTER2,16,0
2010,LTER2,17,0
2010,LTER2,18,0
2010,LTER2,19,0
2010,LTER2,20,0
2010,LTER2,21,1
2010,LTER2,22,0
2010,LTER2,23,0
2010,LTER2,24,0
2010,LTER2,25,1
2010,LTER2,26,0
2010,LTER2,27,0
2010,LTER2,28,0
2010,LTER2,29,0
2010,LTER2,30,0
2010,LTER2,31,0
2010,LTER2,32,0
2010,LTER2,33,0
2010,LTER2,34,0
2010,LTER2,35,3
2010,LTER2,36,1
2010,LTER2,37,0
2010,LTER2,38,1
2010,LTER2,39,0
2010,LTER2,40,1
2014,LTER2,1,3
2014,LTER2,2,1
2014,LTER2,3,0
2014,LTER2,4,3
2014,LTER2,5,2
2014,LTER2,6,1
2014,LTER2,7,3
2014,LTER2,8,6
2014,LTER2,9,7
2014,LTER2,10,4
2014,LTER2,11,10
2014,LTER2,12,4
2014,LTER2,13,2
2014,LTER2,14,6
2014,LTER2,15,8
2014,LTER2,16,6
2014,LTER2,17,4
2014,LTER2,18,3
2014,LTER2,19,5
2014,LTER2,20,8
2014,LTER2,21,4
2014,LTER2,22,6
2014,LTER2,23,4
2014,LTER2,24,9
2014,LTER2,25,2
2014,LTER2,26,2
2014,LTER2,27,5
2014,LTER2,28,12
2014,LTER2,29,5
2014,LTER2,30,3
2014,LTER2,31,2
2014,LTER2,32,4
2014,LTER2,33,2
2014,LTER2,34,9
2014,LTER2,35,5
2014,LTER2,36,8
2014,LTER2,37,3
2014,LTER2,38,6
2014,LTER2,39,6
2014,LTER2,40,12
2017,LTER2,1,0
2017,LTER2,2,0
2017,LTER2,3,0
2017,LTER2,4,1
2017,LTER2,5,1
2017,LTER2,6,1
2017,LTER2,7,0
2017,LTER2,8,0
2017,LTER2,9,0
2017,LTER2,10,1
2017,LTER2,11,1
2017,LTER2,12,0
2017,LTER2,13,0
2017,LTER2,14,0
2017,LTER2,15,0
2017,LTER2,16,1
2017,LTER2,17,0
2017,LTER2,18,1
2017,LTER2,19,0
2017,LTER2,20,2
2017,LTER2,21,0
2017,LTER2,22,1
2017,LTER2,23,1
2017,LTER2,24,0
2017,LTER2,25,2
2017,LTER2,26,1
2017,LTER2,27,2
2017,LTER2,28,1
2017,LTER2,29,0
2017,LTER2,30,0
2017,LTER2,31,1
2017,LTER2,32,2
2017,LTER2,33,0
2017,LTER2,34,2
2017,LTER2,35,0
2017,LTER2,36,0
2017,LTER2,37,0
2017,LTER2,38,0
2017,LTER2,39,1
2017,LTER2,40,1