Year,Site,Quadrat,Pocillopora % Cover
2011,LTER1,1,0
2011,LTER1,2,0
2011,LTER1,3,0
2011,LTER1,4,0
2011,LTER1,5,0
2011,LTER1,6,0
2011,LTER1,7,0
2011,LTER1,8,1
2011,LTER1,9,0
2011,LTER1,10,0.5
2011,LTER1,11,0
2011,LTER1,12,0
2011,LTER1,13,0
2011,LTER1,14,0
2011,LTER1,15,0
2011,LTER1,16,0
2011,LTER1,17,0
2011,LTER1,18,1.1
2011,LTER1,19,0
2011,LTER1,20,0
2011,LTER1,21,0
2011,LTER1,22,0
2011,LTER1,25,0
2011,LTER1,26,0
2011,LTER1,27,0
2011,LTER1,28,0
2011,LTER1,29,0
2011,LTER1,30,0.5
2011,LTER1,31,0
2011,LTER1,32,0
2011,LTER1,33,0
2011,LTER1,34,0
2011,LTER1,35,0
2011,LTER1,36,0.6
2011,LTER1,37,0
2011,LTER1,38,0
2011,LTER1,39,0
2011,LTER1,40,0
2012,LTER1,1,1.1
2012,LTER1,2,1.7
2012,LTER1,3,1.6
2012,LTER1,4,0.5
2012,LTER1,5,0
2012,LTER1,6,0.5
2012,LTER1,7,5.4
2012,LTER1,8,3.3
2012,LTER1,9,6
2012,LTER1,10,3.8
2012,LTER1,11,1.6
2012,LTER1,12,1.6
2012,LTER1,13,0.5
2012,LTER1,14,1.1
2012,LTER1,15,2.1
2012,LTER1,16,0.5
2012,LTER1,17,0
2012,LTER1,18,3.7
2012,LTER1,19,0.6
2012,LTER1,20,3.2
2012,LTER1,21,0
2012,LTER1,22,1.6
2012,LTER1,25,3.8
2012,LTER1,26,4.7
2012,LTER1,27,3.8
2012,LTER1,28,0.5
2012,LTER1,29,2.3
2012,LTER1,30,0.5
2012,LTER1,31,1.7
2012,LTER1,32,1.1
2012,LTER1,33,2.7
2012,LTER1,34,1.6
2012,LTER1,35,2.6
2012,LTER1,36,4.9
2012,LTER1,37,1.6
2012,LTER1,38,1.7
2012,LTER1,39,1.1
2012,LTER1,40,0.6
2013,LTER1,1,10.5
2013,LTER1,2,12
2013,LTER1,3,9.3
2013,LTER1,4,3.8
2013,LTER1,5,2.7
2013,LTER1,6,5.8
2013,LTER1,7,13.7
2013,LTER1,8,19.8
2013,LTER1,9,4.4
2013,LTER1,10,17.8
2013,LTER1,11,6
2013,LTER1,12,11.2
2013,LTER1,13,11.5
2013,LTER1,14,7
2013,LTER1,15,9.5
2013,LTER1,16,0.6
2013,LTER1,17,2.8
2013,LTER1,18,9.5
2013,LTER1,19,4.3
2013,LTER1,20,9
2013,LTER1,21,5.6
2013,LTER1,22,5.3
2013,LTER1,25,11.2
2013,LTER1,26,10.7
2013,LTER1,27,9.7
2013,LTER1,28,7.8
2013,LTER1,29,9.5
2013,LTER1,30,6.1
2013,LTER1,31,8.6
2013,LTER1,32,7
2013,LTER1,33,8.6
2013,LTER1,34,19.2
2013,LTER1,35,11.3
2013,LTER1,36,12.2
2013,LTER1,37,4.3
2013,LTER1,38,2.2
2013,LTER1,39,5
2013,LTER1,40,8.2
2014,LTER1,1,15.8
2014,LTER1,2,36.8
2014,LTER1,3,31.6
2014,LTER1,4,25.4
2014,LTER1,5,8.7
2014,LTER1,6,11.3
2014,LTER1,7,32.1
2014,LTER1,8,33
2014,LTER1,9,22.8
2014,LTER1,10,34.8
2014,LTER1,11,25.3
2014,LTER1,12,15.8
2014,LTER1,13,25.5
2014,LTER1,14,32.2
2014,LTER1,15,18.9
2014,LTER1,16,4.6
2014,LTER1,17,7.7
2014,LTER1,18,32
2014,LTER1,19,14.4
2014,LTER1,20,22.9
2014,LTER1,21,19.7
2014,LTER1,22,9.1
2014,LTER1,25,29.4
2014,LTER1,26,23.1
2014,LTER1,27,23.2
2014,LTER1,28,18.9
2014,LTER1,29,23.5
2014,LTER1,30,12.1
2014,LTER1,31,25.8
2014,LTER1,32,12.7
2014,LTER1,33,14.6
2014,LTER1,34,28.3
2014,LTER1,35,22.4
2014,LTER1,36,32.6
2014,LTER1,37,15.8
2014,LTER1,38,12.9
2014,LTER1,39,16.3
2014,LTER1,40,27.1
2015,LTER1,1,41.5
2015,LTER1,2,59.4
2015,LTER1,3,41.6
2015,LTER1,4,42.9
2015,LTER1,5,28
2015,LTER1,6,27.9
2015,LTER1,7,51.2
2015,LTER1,8,43.8
2015,LTER1,9,45.3
2015,LTER1,10,54.7
2015,LTER1,11,26.9
2015,LTER1,12,45.7
2015,LTER1,13,30.3
2015,LTER1,14,46.7
2015,LTER1,15,40.1
2015,LTER1,16,7.9
2015,LTER1,17,26.9
2015,LTER1,18,41.9
2015,LTER1,19,33.7
2015,LTER1,20,50.3
2015,LTER1,21,39.4
2015,LTER1,22,29.1
2015,LTER1,25,50.8
2015,LTER1,26,52.8
2015,LTER1,27,42.2
2015,LTER1,28,37.6
2015,LTER1,29,24.7
2015,LTER1,31,42
2015,LTER1,32,29.1
2015,LTER1,33,23
2015,LTER1,34,41.5
2015,LTER1,35,47.8
2015,LTER1,36,40.6
2015,LTER1,37,20.9
2015,LTER1,38,21.1
2015,LTER1,39,28
2015,LTER1,40,42.5
2016,LTER1,1,55.3
2016,LTER1,2,76.7
2016,LTER1,3,72.9
2016,LTER1,4,63.4
2016,LTER1,5,48.8
2016,LTER1,6,32.9
2016,LTER1,7,64
2016,LTER1,8,60
2016,LTER1,9,49.5
2016,LTER1,10,66.7
2016,LTER1,11,46.1
2016,LTER1,12,47.3
2016,LTER1,13,36.4
2016,LTER1,14,55.2
2016,LTER1,15,53.2
2016,LTER1,16,3.4
2016,LTER1,17,43.1
2016,LTER1,18,57.9
2016,LTER1,19,57.1
2016,LTER1,20,64.6
2016,LTER1,21,38
2016,LTER1,22,43.5
2016,LTER1,25,39.2
2016,LTER1,26,63.9
2016,LTER1,28,61.2
2016,LTER1,29,52
2016,LTER1,30,39.9
2016,LTER1,31,49.1
2016,LTER1,32,40.6
2016,LTER1,33,31.5
2016,LTER1,34,48.3
2016,LTER1,35,59.9
2016,LTER1,36,50
2016,LTER1,37,51.8
2016,LTER1,38,39.1
2016,LTER1,39,36.5
2016,LTER1,40,43.5
2017,LTER1,1,71.91
2017,LTER1,2,91.85
2017,LTER1,3,73.45
2017,LTER1,4,74.73
2017,LTER1,5,51.83
2017,LTER1,6,45.95
2017,LTER1,7,70.72
2017,LTER1,9,56.9
2017,LTER1,10,83.24
2017,LTER1,11,61.29
2017,LTER1,12,51.69
2017,LTER1,13,57.87
2017,LTER1,14,60.54
2017,LTER1,15,39.36
2017,LTER1,16,6.04
2017,LTER1,17,38.15
2017,LTER1,18,83.71
2017,LTER1,19,55.49
2017,LTER1,20,69.35
2017,LTER1,21,36.11
2017,LTER1,22,38.55
2017,LTER1,25,40.44
2017,LTER1,26,73.54
2017,LTER1,27,83.52
2017,LTER1,28,74.32
2017,LTER1,29,54.07
2017,LTER1,30,45.36
2017,LTER1,31,55.03
2017,LTER1,32,77.2
2017,LTER1,33,43.68
2017,LTER1,34,55
2017,LTER1,35,68
2017,LTER1,36,46.33
2017,LTER1,37,51.63
2017,LTER1,38,47.49
2017,LTER1,39,42.05
2017,LTER1,40,62.64
2018,LTER1,1,87.17
2018,LTER1,2,90.37
2018,LTER1,3,83.16
2018,LTER1,4,80
2018,LTER1,5,NaN
2018,LTER1,6,32.62
2018,LTER1,7,83.6
2018,LTER1,8,85.95
2018,LTER1,9,73.66
2018,LTER1,10,90.32
2018,LTER1,11,57.14
2018,LTER1,12,70.81
2018,LTER1,13,52.02
2018,LTER1,14,72.63
2018,LTER1,15,50.82
2018,LTER1,16,15.73
2018,LTER1,17,70.95
2018,LTER1,18,64.89
2018,LTER1,19,78.38
2018,LTER1,20,70.45
2018,LTER1,21,51.14
2018,LTER1,22,45
2018,LTER1,23,NaN
2018,LTER1,24,NaN
2018,LTER1,25,43.89
2018,LTER1,26,86.02
2018,LTER1,27,76.97
2018,LTER1,28,81.22
2018,LTER1,29,68.54
2018,LTER1,30,58.38
2018,LTER1,31,56.99
2018,LTER1,32,69.83
2018,LTER1,33,52.84
2018,LTER1,34,75.27
2018,LTER1,35,75.96
2018,LTER1,36,34.44
2018,LTER1,37,66.3
2018,LTER1,38,41.85
2018,LTER1,39,48.9
2018,LTER1,40,69.14
2011,LTER2,1,0
2011,LTER2,2,0.5
2011,LTER2,3,0
2011,LTER2,4,0
2011,LTER2,5,0
2011,LTER2,6,0
2011,LTER2,7,1
2011,LTER2,8,0
2011,LTER2,9,0
2011,LTER2,10,0.5
2011,LTER2,11,0
2011,LTER2,12,2.6
2011,LTER2,13,0
2011,LTER2,14,0
2011,LTER2,15,0
2011,LTER2,16,1.1
2011,LTER2,17,0
2011,LTER2,18,0
2011,LTER2,19,0
2011,LTER2,20,0
2011,LTER2,21,0
2011,LTER2,22,0
2011,LTER2,23,0
2011,LTER2,24,0
2011,LTER2,25,0
2011,LTER2,26,0
2011,LTER2,27,0
2011,LTER2,28,0.6
2011,LTER2,29,0.5
2011,LTER2,30,1.1
2011,LTER2,31,0
2011,LTER2,32,0
2011,LTER2,33,0
2011,LTER2,34,0
2011,LTER2,35,0
2011,LTER2,36,0.5
2011,LTER2,37,0
2011,LTER2,38,0
2011,LTER2,39,4.7
2011,LTER2,40,8.7
2012,LTER2,1,1.7
2012,LTER2,2,2.7
2012,LTER2,3,2.7
2012,LTER2,4,1.1
2012,LTER2,5,0.5
2012,LTER2,6,1.1
2012,LTER2,7,3.8
2012,LTER2,8,0
2012,LTER2,9,1.1
2012,LTER2,10,1.1
2012,LTER2,11,1.1
2012,LTER2,12,1.1
2012,LTER2,13,3.2
2012,LTER2,14,2.8
2012,LTER2,15,1.6
2012,LTER2,16,3.4
2012,LTER2,17,1.1
2012,LTER2,18,0
2012,LTER2,19,3.5
2012,LTER2,20,4.9
2012,LTER2,21,4.9
2012,LTER2,22,1.1
2012,LTER2,23,3.3
2012,LTER2,24,1.1
2012,LTER2,25,0.6
2012,LTER2,26,1.1
2012,LTER2,27,0
2012,LTER2,28,1.6
2012,LTER2,29,3.2
2012,LTER2,30,1.1
2012,LTER2,31,2.2
2012,LTER2,32,0.5
2012,LTER2,33,0
2012,LTER2,34,0.5
2012,LTER2,35,4.6
2012,LTER2,36,0.5
2012,LTER2,37,3.8
2012,LTER2,38,0.6
2012,LTER2,39,2.6
2012,LTER2,40,14.2
2013,LTER2,1,6.6
2013,LTER2,2,7.3
2013,LTER2,3,3.3
2013,LTER2,4,1.7
2013,LTER2,5,4.5
2013,LTER2,6,3
2013,LTER2,7,16.2
2013,LTER2,8,3.9
2013,LTER2,9,6.8
2013,LTER2,10,9.7
2013,LTER2,11,11
2013,LTER2,12,9.9
2013,LTER2,13,5
2013,LTER2,14,1.7
2013,LTER2,15,6.4
2013,LTER2,16,5.5
2013,LTER2,17,3.9
2013,LTER2,18,5.1
2013,LTER2,19,4.7
2013,LTER2,20,8.4
2013,LTER2,21,12.9
2013,LTER2,22,2.8
2013,LTER2,23,5.5
2013,LTER2,24,2.7
2013,LTER2,25,4.5
2013,LTER2,26,4.5
2013,LTER2,27,7.5
2013,LTER2,28,4.4
2013,LTER2,29,7.5
2013,LTER2,30,2.2
2013,LTER2,31,1.1
2013,LTER2,32,1.1
2013,LTER2,33,4.1
2013,LTER2,34,7.5
2013,LTER2,35,7.3
2013,LTER2,36,6.8
2013,LTER2,37,4.5
2013,LTER2,38,8.7
2013,LTER2,39,6.7
2013,LTER2,40,17.7
2014,LTER2,1,12.6
2014,LTER2,2,16.9
2014,LTER2,3,9.7
2014,LTER2,4,11.8
2014,LTER2,5,17.1
2014,LTER2,6,12.4
2014,LTER2,7,30.1
2014,LTER2,8,13
2014,LTER2,9,20.2
2014,LTER2,10,18
2014,LTER2,11,23.8
2014,LTER2,12,21.6
2014,LTER2,13,11.5
2014,LTER2,14,9.5
2014,LTER2,15,9.2
2014,LTER2,16,16
2014,LTER2,17,5.7
2014,LTER2,18,19.9
2014,LTER2,19,15.2
2014,LTER2,20,20.9
2014,LTER2,21,32.5
2014,LTER2,22,10.2
2014,LTER2,23,9.9
2014,LTER2,24,9.8
2014,LTER2,25,8.9
2014,LTER2,26,5.9
2014,LTER2,27,23.8
2014,LTER2,28,8.1
2014,LTER2,29,13.8
2014,LTER2,30,7.8
2014,LTER2,31,6.9
2014,LTER2,32,4.3
2014,LTER2,33,9.7
2014,LTER2,34,10.9
2014,LTER2,35,23.1
2014,LTER2,36,16
2014,LTER2,37,12.8
2014,LTER2,38,5.5
2014,LTER2,39,12
2014,LTER2,40,5.7
2015,LTER2,1,26.4
2015,LTER2,2,23.8
2015,LTER2,3,20.8
2015,LTER2,4,18.6
2015,LTER2,5,19.2
2015,LTER2,6,17.1
2015,LTER2,7,46.6
2015,LTER2,8,27.5
2015,LTER2,9,23.5
2015,LTER2,10,32
2015,LTER2,11,33.1
2015,LTER2,12,36.9
2015,LTER2,13,36.7
2015,LTER2,14,16.3
2015,LTER2,15,18.9
2015,LTER2,16,31.6
2015,LTER2,17,17.4
2015,LTER2,18,27.9
2015,LTER2,19,21.6
2015,LTER2,20,38.1
2015,LTER2,21,47.6
2015,LTER2,22,17.9
2015,LTER2,23,22
2015,LTER2,24,18.9
2015,LTER2,25,21.7
2015,LTER2,26,8
2015,LTER2,27,40.1
2015,LTER2,28,18.5
2015,LTER2,29,25.4
2015,LTER2,30,23.6
2015,LTER2,31,15.4
2015,LTER2,32,8.2
2015,LTER2,33,14.6
2015,LTER2,34,23.6
2015,LTER2,35,37.9
2015,LTER2,36,15.3
2015,LTER2,37,21.3
2015,LTER2,38,5.3
2015,LTER2,39,14.2
2015,LTER2,40,14
2016,LTER2,1,33
2016,LTER2,2,45.1
2016,LTER2,3,31.9
2016,LTER2,4,29.9
2016,LTER2,5,44.1
2016,LTER2,6,26.3
2016,LTER2,7,51.1
2016,LTER2,8,40.2
2016,LTER2,9,39
2016,LTER2,10,39
2016,LTER2,11,35.2
2016,LTER2,12,48.4
2016,LTER2,13,32.4
2016,LTER2,14,28.6
2016,LTER2,15,22.3
2016,LTER2,16,33.1
2016,LTER2,18,25
2016,LTER2,19,44
2016,LTER2,20,33.1
2016,LTER2,21,48.6
2016,LTER2,22,51.9
2016,LTER2,23,16.3
2016,LTER2,24,30.5
2016,LTER2,25,32.8
2016,LTER2,26,12.3
2016,LTER2,27,36.5
2016,LTER2,28,21.5
2016,LTER2,29,20.5
2016,LTER2,30,19.9
2016,LTER2,31,11.7
2016,LTER2,33,18.3
2016,LTER2,34,27.6
2016,LTER2,35,56.8
2016,LTER2,36,40
2016,LTER2,37,30.3
2016,LTER2,38,8.5
2016,LTER2,39,22.4
2016,LTER2,40,18.9
2017,LTER2,1,56.07
2017,LTER2,2,34.27
2017,LTER2,3,36.81
2017,LTER2,4,45.9
2017,LTER2,5,43.26
2017,LTER2,6,25.28
2017,LTER2,7,60.23
2017,LTER2,8,32.76
2017,LTER2,9,41.04
2017,LTER2,10,53.49
2017,LTER2,11,42.7
2017,LTER2,12,53.45
2017,LTER2,13,47.54
2017,LTER2,14,45.6
2017,LTER2,15,24.12
2017,LTER2,16,45.71
2017,LTER2,17,25.28
2017,LTER2,18,52.2
2017,LTER2,19,41.9
2017,LTER2,20,52.81
2017,LTER2,21,72.13
2017,LTER2,22,43.26
2017,LTER2,23,31.07
2017,LTER2,24,35.06
2017,LTER2,25,37.08
2017,LTER2,26,41.11
2017,LTER2,27,46.33
2017,LTER2,28,39.67
2017,LTER2,29,37.77
2017,LTER2,30,28.73
2017,LTER2,31,37.97
2017,LTER2,32,14.92
2017,LTER2,33,30.86
2017,LTER2,34,25.41
2017,LTER2,35,56.45
2017,LTER2,36,37.36
2017,LTER2,37,27.47
2017,LTER2,38,16.95
2017,LTER2,39,23.73
2017,LTER2,40,NaN
2018,LTER2,1,44.75
2018,LTER2,2,36.22
2018,LTER2,3,47.15
2018,LTER2,4,39.06
2018,LTER2,5,66.85
2018,LTER2,6,43.75
2018,LTER2,7,79.56
2018,LTER2,8,43.32
2018,LTER2,9,51.96
2018,LTER2,10,57.78
2018,LTER2,11,47.37
2018,LTER2,12,64.48
2018,LTER2,13,55.08
2018,LTER2,14,53.23
2018,LTER2,15,31.15
2018,LTER2,16,51.32
2018,LTER2,17,35.68
2018,LTER2,18,47.8
2018,LTER2,19,36.67
2018,LTER2,20,53.23
2018,LTER2,21,77.89
2018,LTER2,22,34.62
2018,LTER2,23,32.98
2018,LTER2,24,32.26
2018,LTER2,25,43.39
2018,LTER2,26,32.8
2018,LTER2,27,62.7
2018,LTER2,28,56.83
2018,LTER2,29,45.16
2018,LTER2,30,55
2018,LTER2,31,32.63
2018,LTER2,32,2.67
2018,LTER2,33,27.37
2018,LTER2,34,37.1
2018,LTER2,35,68.13
2018,LTER2,36,41.27
2018,LTER2,37,28.95
2018,LTER2,38,30.6
2018,LTER2,39,27.81
2018,LTER2,40,50.53